Idx	M	adj.P
AT5G45560	-0.800976825	0.001909853
AT1G73600	-1.056428649	0.001909932
AT2G19670	1.182016821	0.001925128
AT4G32280	-1.187368651	0.001925598
AT3G48080	1.371123472	0.00192664
AT2G23540	2.004670982	0.001933161
AT1G32940	0.877802047	0.001934232
AT1G15440	0.763088897	0.001939674
AT2G20100	-0.737211492	0.001950839
AT1G14120	1.335401401	0.00195367
AT5G24320	-0.683705538	0.001962232
AT4G35600	0.666984119	0.001970698
AT1G34040	0.771563758	0.001977147
AT4G24510	0.682638847	0.001977182
AT3G12810	-1.162140431	0.001978117
AT2G41410	1.350592292	0.001983689
AT4G12480	3.145411276	0.001990134
AT3G16460	0.616470998	0.00199292
AT4G24190	0.67739343	0.002005665
AT2G24300	0.799744494	0.002008231
AT1G17590	0.820336394	0.002010649
AT1G29940	0.862136699	0.002010912
AT5G61660	-0.841296686	0.00201971
AT1G63250	0.789503649	0.002025283
AT5G60490	-0.685158741	0.002030244
AT3G03380	-0.879373101	0.002055818
AT3G17910	0.670096077	0.002073123
AT1G73800	1.751658638	0.002076693
AT5G36930	0.678450653	0.002081392
AT1G28610	-0.765303634	0.002082477
AT2G40000	1.906875697	0.002083027
AT5G62850	-0.738358603	0.002093785
AT1G63840	0.807582937	0.002093988
AT4G13660	1.21904467	0.002094571
AT2G43000	1.205423176	0.002102804
AT1G31190	-0.643271598	0.002103012
AT1G31430	0.667880383	0.002109372
AT5G15830	-0.601755286	0.002124853
AT3G24982	1.254523995	0.002126615
AT5G38720	0.818205735	0.002130235
AT2G46600	0.743129161	0.00213367
AT1G62290	-1.133916217	0.00213833
AT3G14470	1.004488673	0.002144431
AT1G60550	-0.73819218	0.002146439
AT1G16850	0.815593369	0.00214747
AT1G59510	-0.618870308	0.002152053
AT5G52470	0.668807595	0.002152744
AT2G40460	0.748280019	0.002162377
AT5G14660	-0.6076464	0.002163636
AT1G58080	-0.626108902	0.002168628
AT3G48720	-0.998278708	0.002175287
AT1G53920	0.859065658	0.002182957
AT5G14580	0.955858611	0.002183098
AT3G25860	-0.632191229	0.002203672
AT5G59820	1.389528517	0.002205421
AT3G27400	2.160874392	0.00221138
AT4G32915	-0.696852636	0.002222377
AT5G23830	1.525315221	0.002227063
AT4G02930	0.629539373	0.002228633
AT4G24920	0.614799322	0.002228951
AT3G06810	-1.07042815	0.002229472
AT3G02820	-0.606685355	0.002237826
AT5G47130	0.936193162	0.002240482
AT2G42570	1.069594416	0.002257603
ATMG01370	0.736786479	0.002258377
AT1G31480	0.643302448	0.002258776
AT2G40100	-0.673585278	0.002260831
AT4G21890	-0.658200675	0.002263813
AT5G13490	0.700779139	0.002265661
AT3G54040	1.502270852	0.002271778
AT2G30540	1.499412043	0.002272639
AT2G27130	-0.591529187	0.002273774
AT1G69870	0.610115706	0.002275304
AT3G47840	0.823288562	0.002281899
AT5G13030	-0.714900104	0.002287007
AT4G24430	-0.595872104	0.002289362
AT1G61065	0.77951926	0.002294268
AT3G08920	-0.812534099	0.002294886
AT3G13650	1.337926263	0.00229589
AT1G63780	0.768216483	0.002297483
AT2G18690	1.476774498	0.002297718
AT5G09420	0.893412224	0.002311812
AT2G38800	0.620301766	0.002312634
AT1G01860	-0.751642899	0.002312974
AT1G23100	0.722771052	0.002317866
AT2G31880	0.869309607	0.00232517
AT1G07320	-0.704327307	0.002360898
AT3G09220	0.759515933	0.002367088
AT2G26440	1.126679435	0.002368303
AT3G45010	0.710249582	0.002374046
AT1G76790	0.783748433	0.002375519
AT4G07370	-0.828858945	0.002378957
AT3G25830	2.741812158	0.002380698
ATMG00210	-0.896014212	0.002381754
AT3G23330	0.655128948	0.002398809
AT1G08000	-0.635729541	0.002402892
AT5G25440	1.037648582	0.002428657
AT1G10140	1.802231685	0.002429107
AT2G23950	-0.701069601	0.002438098
AT5G13140	-0.595216499	0.00244537
AT3G12500	0.968046502	0.002445548
AT1G73160	-0.876049574	0.002449804
AT2G35960	-0.800533414	0.002471226
AT2G25355	0.7007018	0.00247439
AT4G05410	0.64603798	0.002475872
AT4G38760	-1.067504798	0.002487191
AT3G60420	2.228268918	0.002488742
AT1G28190	1.202830461	0.0024904
AT2G42360	0.724088832	0.002497215
AT2G25330	-0.98579602	0.002498047
AT1G03290	0.907920669	0.002504458
AT1G20780	-0.596560821	0.002513412
AT1G43630	0.90760006	0.002525893
AT3G10060	-0.896972183	0.002532219
AT1G12830	0.617589054	0.002536222
AT2G04090	0.769890733	0.002536713
AT5G16590	-0.605664382	0.002538603
AT1G03360	0.715613295	0.002544413
AT5G05630	0.573751529	0.002551029
AT5G12410	0.671323706	0.002552889
AT5G17630	-0.589495269	0.002560572
AT5G60300	0.73060148	0.002561312
AT3G18510	0.784397994	0.002563631
AT1G07000	0.917315451	0.00257422
AT4G23540	0.581955597	0.002584135
AT4G29900	0.895582313	0.002585033
AT1G08390	-0.638970846	0.00259956
AT2G42760	0.995919791	0.002608636
AT1G34120	0.570801586	0.002613131
AT5G02460	-0.68055441	0.002620297
AT4G26480	-0.908236186	0.002624126
AT4G02700	-0.897437715	0.002634908
AT1G64980	-0.672940589	0.002637119
AT3G09490	1.002871579	0.002637708
AT5G54150	0.751816075	0.00263928
AT2G45560	-0.782356758	0.002642669
AT2G30550	0.758469674	0.002642825
AT3G16570	-0.644548882	0.002653444
AT2G43160	-1.069185674	0.002654316
AT1G77450	1.615437856	0.002686678
AT2G41650	0.621285487	0.002687318
AT1G08990	0.63462765	0.002693462
AT1G79150	0.724692714	0.002694656
AT4G16760	0.957059095	0.002715968
AT2G27170	-0.61211961	0.002723424
AT4G23600	1.711309853	0.00272743
AT1G05575	1.611201004	0.002733536
AT5G12860	-0.700700094	0.002734104
AT1G69370	0.694003737	0.00274513
AT1G74100	0.596365561	0.002746783
AT4G26060	0.560426352	0.002763602
AT1G14780	2.063575323	0.002781283
AT1G08890	-0.625535022	0.002792967
AT1G48220	-0.91815953	0.002794604
AT1G32800	-1.128752953	0.002801619
AT5G58460	-0.77680334	0.002810623
AT3G28220	1.554957267	0.002811266
AT2G25735	0.868593174	0.002813312
AT1G53460	0.779949642	0.002817326
AT3G27610	0.585956486	0.002825908
AT2G36145	-0.941635929	0.002827982
AT5G66060	-0.564427636	0.002833501
AT5G66330	-0.573580707	0.002836314
AT1G33640	-0.820870803	0.002837729
AT2G46690	0.565538904	0.00284797
AT4G31500	0.737383071	0.002856603
AT5G52630	0.617127602	0.002858349
AT3G51110	-0.605812592	0.002858572
AT5G62360	0.634318072	0.002860304
AT4G22980	1.132544512	0.002861302
AT4G23210	2.77860297	0.002869999
AT2G46020	-1.024175845	0.002882703
AT5G42150	0.824080872	0.002886039
AT5G58540	-0.598876893	0.002896067
AT1G72510	0.705818656	0.002902668
AT5G28400	-0.742626487	0.002907486
AT1G45332	0.62875692	0.002912277
AT3G58710	0.74096175	0.002919548
AT4G04610	0.649813791	0.002927433
AT5G48360	0.728984647	0.002938001
AT3G15550	-1.510643493	0.002958793
AT2G39190	-1.26931638	0.002959002
AT1G27090	-0.704047654	0.002966474
AT1G64470	-0.586988039	0.002967869
AT3G61190	2.189598396	0.00296951
AT4G00620	0.634867007	0.002972316
AT1G44414	0.56365233	0.002974742
AT3G52960	-0.712513118	0.002977137
AT4G08240	-0.552209837	0.00298099
AT1G80270	0.779267297	0.002984223
AT3G07590	0.572115495	0.00299692
AT5G25470	-0.614541958	0.003003435
AT4G35985	0.988433944	0.003010762
AT5G09530	1.315349484	0.00301328
AT4G23570	0.654148434	0.003018139
AT4G23050	0.600305226	0.003018872
AT1G29660	-0.643883023	0.00302047
AT3G22070	-0.610645918	0.003026149
AT4G26555	-0.548784465	0.003026787
AT1G22880	-0.599536583	0.003028069
AT1G32700	0.72496469	0.003030112
AT5G09930	-0.683010917	0.00304332
AT4G27450	0.840710903	0.003044804
AT2G15290	-0.556313168	0.003049192
AT1G14420	-0.562621107	0.00306017
AT1G09575	-0.852278625	0.003087675
AT4G30670	0.954060304	0.003122212
AT5G18310	1.382162755	0.003125769
AT5G57140	-0.606636536	0.003132944
AT3G62600	0.9392021	0.003138667
AT3G47510	0.752679633	0.003153955
AT1G20840	-0.671731342	0.003156207
AT5G16250	-0.719918196	0.003157712
AT2G24360	0.594308382	0.003172408
AT1G07390	1.098013748	0.003179284
AT1G22160	-0.635462622	0.00318247
AT1G60620	0.558637457	0.003190205
AT3G56310	0.587739328	0.003198598
AT1G62790	1.033411547	0.003205511
AT1G48610	-0.876168462	0.003208427
AT2G05910	-0.595571005	0.003209553
AT5G01180	-0.848666819	0.003215821
AT3G23050	-0.544804677	0.003216822
AT5G61030	0.690909522	0.003224254
AT1G75490	0.995403637	0.003236622
AT2G16595	1.284109058	0.00324593
AT3G49080	-0.612198005	0.003254561
AT3G22400	-0.893418639	0.003261307
AT3G01510	-0.639216165	0.003269515
AT3G54720	0.809617759	0.00327499
AT2G29180	-0.572690989	0.003277726
AT2G43290	-0.689331862	0.003285959
AT1G76020	-0.788146618	0.003287291
AT5G50375	-0.557003936	0.003291481
AT5G50500	-0.565387445	0.003297927
AT5G49640	0.680305831	0.00330466
AT3G49430	-0.594186513	0.003314885
AT3G61870	-0.664947513	0.003323654
AT4G29190	-0.539882423	0.003328497
AT2G39130	-0.726292111	0.003334338
AT5G14440	0.588727003	0.003337358
AT4G25480	-1.234092032	0.003342251
AT5G24770	1.460621367	0.003352057
AT1G51360	-0.672708094	0.003357085
AT1G75670	0.757002436	0.00336193
AT2G29970	0.559651251	0.003362903
AT1G72440	0.708471455	0.003368494
AT4G34990	0.764884784	0.003390257
AT1G72060	1.691216956	0.003403086
AT5G48030	0.582868591	0.003411228
AT2G42750	-0.558017058	0.003424264
AT2G39795	0.616194179	0.003425296
AT4G33530	-0.53319809	0.003428423
AT3G03640	0.897445174	0.003449797
AT5G38890	0.609123096	0.003453863
AT1G33930	-0.909672166	0.003462775
AT1G77550	0.648274934	0.003474922
AT1G76620	-0.862210861	0.003479183
AT2G01070	-0.535269649	0.003480694
AT1G31910	0.533328209	0.003483305
AT3G16450	0.802556558	0.003484768
AT5G25800	0.530319174	0.003491392
AT5G56500	0.703650837	0.003501481
AT1G23080	-0.779757152	0.003509873
AT5G01590	-0.988985775	0.003511035
AT5G67520	0.530196689	0.003521028
AT3G16857	-0.593760237	0.003549389
AT3G55460	-0.566593666	0.003568271
AT1G33350	0.57920268	0.003576996
AT3G53230	0.626362676	0.003578514
AT4G20390	0.84484158	0.00358441
AT2G43010	-0.672907028	0.003584641
AT1G26270	0.5946873	0.003587202
AT3G51660	0.941588986	0.003592767
AT4G24380	0.731137046	0.003596997
AT1G79000	-0.576417122	0.003604005
AT5G10160	-0.571253204	0.003610839
AT1G64680	-0.678078289	0.003614315
AT3G01160	0.673549587	0.003615667
AT5G33290	0.697045791	0.0036157
AT5G24340	-0.711248993	0.003618232
AT3G12340	0.658260837	0.003620918
AT1G04800	-1.185191132	0.003625162
AT2G33380	1.843240685	0.003625372
AT2G47220	-0.62847697	0.003634701
AT1G10200	-0.630920473	0.003638001
AT5G51110	-0.525847441	0.003642238
AT5G55620	-0.86277883	0.003643244
AT1G18850	0.726934554	0.003656754
AT5G07050	0.553596973	0.003663685
AT3G43240	0.569411255	0.00366744
AT5G53120	0.724093881	0.003670234
AT1G79720	-0.602699009	0.003672258
AT5G45140	0.75920218	0.00367333
AT1G02970	-0.653000028	0.003682409
AT3G13940	0.663783915	0.003685471
AT1G69360	0.653565605	0.003685947
AT3G01340	-0.545323633	0.003686685
AT3G63190	-0.622113029	0.003691921
AT4G18280	0.575760847	0.003696725
AT1G67800	1.043605015	0.003705554
AT2G02000	2.039866553	0.003710985
AT4G25100	-0.563153475	0.003715727
AT5G27140	0.650931432	0.003718237
AT2G45040	-0.590687598	0.003732264
AT3G25655	0.538195149	0.003737347
AT5G04180	-0.583136015	0.003738603
AT4G17340	-0.668025199	0.003751679
AT2G39330	1.902257508	0.003753704
AT5G41800	0.998547211	0.003755055
AT5G59170	-0.789905308	0.003759302
AT1G44170	-0.556136004	0.003762621
AT3G10870	-0.666842278	0.003762714
AT2G04780	-0.589608569	0.003763976
AT4G20130	-1.134436379	0.003766268
AT2G15620	-0.546253901	0.003780791
AT2G16700	0.683091709	0.003783441
AT3G09260	0.712491928	0.003790557
AT5G22650	0.730100297	0.003794384
AT2G20110	-0.650609838	0.003804041
AT3G45290	0.581400796	0.003810613
ATMG01130	-1.020017377	0.003812988
AT4G04940	0.990067732	0.003816751
AT5G63470	-0.533475408	0.003817891
AT5G19720	-0.561299534	0.003819659
AT5G22330	0.569026018	0.003821634
AT1G29250	0.631039282	0.003823557
AT5G44550	-0.516236201	0.003826275
AT2G30580	0.612039631	0.003830947
AT5G60200	-0.578143996	0.003833166
AT5G54510	-0.751504632	0.003844877
AT3G12685	-0.951274597	0.003847572
AT5G62100	-0.873617521	0.003853173
AT2G34600	2.228364935	0.003856002
AT5G26200	-0.592382102	0.003857656
AT3G29450	-0.539851181	0.003863094
AT1G09155	-0.513974708	0.003868561
AT5G04270	-0.58670876	0.003877712
AT5G54300	0.558276116	0.003882434
AT3G11650	-0.53417881	0.003887236
AT3G21060	-0.527559276	0.003893578
AT2G17120	0.55693219	0.003894299
AT5G56030	0.607376167	0.003896403
